                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.6208,                 2.2651,                 1.2353,                0.56094,                0.47363,                0.57088,                0.48054,                0.66801,                 1.6079,                 1.0903,               0.070286,              0.0033016,              0.0033016
                      1,                 0.4827,                 1.1803,                  1.118,                0.55993,                0.66045,                0.64697,                0.55384,                0.64779,                 1.4437,                 1.1858,                0.04022,              0.0065692,              0.0065692
                      2,                 0.5412,                 1.0627,                 1.1321,                0.24797,                0.44271,                0.25879,                0.15012,                 1.5716,                 3.4159,                 2.5973,               0.010088,              0.0097709,              0.0097709
                      3,                0.61859,                 1.1089,                 1.1762,                0.36094,                0.44078,                0.39337,                0.26038,                 1.1432,                 1.9596,                  1.837,               0.009703,               0.009703,               0.009703
                      4,                0.61458,                 1.0627,                 1.1713,                0.67707,                0.51213,                0.52227,                0.39662,                 1.0886,                 1.8986,                 1.8504,               0.009703,               0.009703,               0.009703
                      5,                0.60472,                 1.0435,                 1.1569,                0.61372,                0.75751,                0.72108,                0.59429,                0.69695,                 1.1042,                 1.1777,               0.009604,               0.009604,               0.009604
                      6,                0.59105,                0.98766,                  1.149,                0.64871,                0.66415,                 0.6928,                0.57359,                0.75028,                 1.1306,                  1.267,               0.009505,               0.009505,               0.009505
                      7,                 0.5878,                0.92693,                 1.1427,                0.65431,                0.69181,                0.74078,                0.59985,                0.79852,                  1.113,                 1.3075,               0.009406,               0.009406,               0.009406
                      8,                0.56271,                0.92538,                 1.1264,                0.69589,                0.74881,                 0.8009,                0.72555,                0.44664,                 0.8455,                0.86831,               0.009307,               0.009307,               0.009307
                      9,                0.56233,                0.88794,                  1.125,                0.65025,                0.76002,                0.78656,                0.68299,                0.55461,                0.92497,                 1.0071,               0.009208,               0.009208,               0.009208
                     10,                0.55015,                0.86271,                 1.1213,                 0.7661,                 0.8243,                0.87199,                0.78276,                0.45121,                0.73395,                0.86532,               0.009109,               0.009109,               0.009109
                     11,                0.53484,                0.84518,                 1.1185,                0.77773,                0.76754,                0.84153,                0.75267,                0.49682,                0.79357,                0.93086,                0.00901,                0.00901,                0.00901
                     12,                0.52863,                0.84022,                  1.101,                0.76366,                0.63087,                0.78106,                0.67903,                0.52513,                0.94469,                0.94988,               0.008911,               0.008911,               0.008911
                     13,                0.50473,                0.81585,                 1.0883,                0.59698,                0.63113,                0.69603,                0.52836,                0.87084,                 1.3549,                 1.4553,               0.008812,               0.008812,               0.008812
                     14,                0.50394,                0.78137,                 1.0891,                 0.7463,                0.53946,                0.65302,                 0.5381,                0.71965,                 1.4927,                 1.1959,               0.008713,               0.008713,               0.008713
                     15,                0.50875,                0.76949,                 1.1007,                0.77876,                0.81073,                0.85854,                0.78074,                0.44975,                 0.7768,                0.87358,               0.008614,               0.008614,               0.008614
                     16,                0.48473,                0.73292,                 1.0818,                0.79879,                0.78026,                0.87579,                0.81581,                0.38895,                0.76609,                0.80909,               0.008515,               0.008515,               0.008515
                     17,                0.47679,                0.72239,                 1.0759,                0.81512,                0.86157,                0.89726,                0.82216,                0.38154,                0.63299,                0.81182,               0.008416,               0.008416,               0.008416
                     18,                0.46611,                0.71342,                 1.0724,                0.69073,                0.67626,                0.75202,                0.60029,                0.80462,                   1.09,                 1.3047,               0.008317,               0.008317,               0.008317
                     19,                0.48495,                0.72487,                 1.0798,                0.72803,                0.81819,                0.85745,                0.78695,                0.45415,                0.76338,                 0.8583,               0.008218,               0.008218,               0.008218
                     20,                 0.4733,                0.69592,                 1.0775,                0.84494,                0.82697,                0.90166,                 0.8344,                 0.4018,                0.61387,                 0.8316,               0.008119,               0.008119,               0.008119
                     21,                0.46339,                0.69467,                 1.0681,                0.80144,                 0.8335,                0.91145,                0.85242,                0.37799,                0.65972,                0.79056,                0.00802,                0.00802,                0.00802
